IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.182.182,4,4,0.00,158.06,109.63
104.17.79.203,4,4,0.00,157.71,108.11
104.17.159.12,4,4,0.00,156.29,98.47
104.17.182.154,4,4,0.00,156.91,98.21
104.17.35.148,4,4,0.00,158.29,28.06
104.16.104.184,4,4,0.00,156.33,26.01
104.16.248.127,4,4,0.00,156.68,23.85
104.17.195.246,4,4,0.00,157.18,22.15
162.159.40.32,4,4,0.00,158.40,19.76
104.17.168.90,4,4,0.00,158.56,19.21
